,start,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,artist_name,track_name
170,119.34887,21.64296,0.431,-5.727,130.199,0.631,7,0.533,1,0.423,4,1.0,3OH!3,DONTTRUSTME
171,140.99184,14.32724,0.891,-10.697,129.563,0.368,10,0.0,0,0.0,4,1.0,3OH!3,DONTTRUSTME
172,155.31908,29.55489,0.864,-1.431,129.889,0.403,10,0.0,1,0.0,4,0.968,3OH!3,DONTTRUSTME
173,184.87395,7.69938,0.983,-14.768,129.999,0.584,11,0.024,0,0.391,4,1.0,3OH!3,DONTTRUSTME
174,0.0,16.29756,1.0,-8.864,138.168,0.71,0,0.348,1,0.504,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
175,16.29756,11.73873,0.41,-7.0,138.023,0.783,1,0.592,1,0.487,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
176,28.03629,15.20551,0.359,-5.331,137.692,0.577,2,0.09,1,0.282,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
177,43.2418,14.3574,0.586,-2.83,138.063,0.408,2,0.093,1,0.617,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
178,57.5992,13.47453,0.204,-2.892,138.184,0.35,0,0.419,1,0.455,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
179,71.07373,16.52522,0.883,-7.068,138.045,0.698,8,0.168,0,0.397,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
180,87.59895,19.55518,0.607,-3.212,137.83,0.544,11,0.153,0,0.527,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
181,107.15413,7.83124,0.431,-2.825,137.885,0.365,7,0.119,1,0.32,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
182,114.98537,14.78611,0.333,-2.181,138.138,0.317,4,0.305,0,0.388,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
183,129.77148,28.26121,0.696,-5.124,138.181,0.686,2,0.085,1,0.45,4,1.0,3OH!3,My First Kiss (feat. Ke$ha)
184,158.03268,27.39194,0.831,-2.969,138.058,0.313,7,0.161,1,0.397,4,0.614,3OH!3,My First Kiss (feat. Ke$ha)
185,185.42464,7.01537,0.797,-5.728,138.49,0.58,0,0.0,1,0.0,3,0.667,3OH!3,My First Kiss (feat. Ke$ha)
186,0.0,14.27395,1.0,-21.546,127.96,0.604,2,0.0,1,0.0,4,0.235,4 Non Blondes,What's Up?
187,14.27395,30.29673,0.786,-13.483,132.705,0.531,11,0.0,0,0.173,4,0.902,4 Non Blondes,What's Up?
188,44.57067,14.33215,0.564,-11.508,133.983,0.589,9,0.852,1,0.594,4,1.0,4 Non Blondes,What's Up?
189,58.90283,13.8972,0.705,-9.946,133.882,0.475,2,0.206,1,0.411,4,1.0,4 Non Blondes,What's Up?
190,72.80003,11.15726,0.399,-8.879,134.17,0.546,11,0.0,0,0.0,4,1.0,4 Non Blondes,What's Up?
191,83.95729,29.24826,0.539,-7.487,135.673,0.381,2,0.215,1,0.43,4,1.0,4 Non Blondes,What's Up?
192,113.20555,34.80318,1.0,-14.478,134.391,0.492,11,0.217,0,0.212,4,1.0,4 Non Blondes,What's Up?
193,148.00873,13.85818,0.58,-11.045,134.148,0.598,11,0.361,0,0.344,4,1.0,4 Non Blondes,What's Up?
194,161.86691,93.67725,0.576,-8.067,135.746,0.457,9,0.023,1,0.341,4,0.955,4 Non Blondes,What's Up?
195,255.54416,13.09747,0.995,-14.9,133.608,0.437,2,0.336,1,0.454,4,0.682,4 Non Blondes,What's Up?
196,268.64163,26.8917,0.722,-18.356,134.253,0.296,2,0.378,1,0.439,3,0.1,4 Non Blondes,What's Up?
197,0.0,15.34049,1.0,-10.825,127.744,0.386,6,0.301,0,0.366,4,0.933,4Minute,I My Me Mine (Japanese Ver.)
198,15.34049,30.93073,1.0,-2.789,127.946,0.582,11,0.46,0,0.319,4,1.0,4Minute,I My Me Mine (Japanese Ver.)
199,46.27122,96.55596,0.181,-2.005,128.036,0.503,11,0.06,0,0.426,4,1.0,4Minute,I My Me Mine (Japanese Ver.)
200,142.82718,21.58707,0.722,-3.384,127.887,0.436,4,0.429,0,0.239,4,1.0,4Minute,I My Me Mine (Japanese Ver.)
201,164.41425,32.79831,0.443,-1.503,127.973,0.445,11,0.516,0,0.472,4,1.0,4Minute,I My Me Mine (Japanese Ver.)
202,197.21255,8.08078,0.975,-14.057,128.673,0.694,4,0.0,1,0.0,4,1.0,4Minute,I My Me Mine (Japanese Ver.)
203,0.0,15.09782,1.0,-8.258,129.754,0.343,3,0.594,0,0.61,4,1.0,4Minute,Volume Up
204,15.09782,14.7626,0.68,-6.986,130.266,0.716,3,0.0,0,0.0,4,1.0,4Minute,Volume Up
205,29.86042,16.15192,0.261,-2.867,129.939,0.489,3,0.0,1,0.0,4,1.0,4Minute,Volume Up
206,46.01234,11.08443,0.66,-0.838,129.918,0.295,3,0.0,1,0.0,4,1.0,4Minute,Volume Up
207,57.09678,32.31812,0.609,-2.061,129.857,0.44,3,0.046,0,0.456,4,1.0,4Minute,Volume Up
208,89.4149,13.83609,0.956,-6.908,130.29,0.739,11,0.345,1,0.514,4,1.0,4Minute,Volume Up
209,103.25099,17.53497,0.447,-2.848,129.502,0.495,8,0.109,1,0.334,4,1.0,4Minute,Volume Up
210,120.78596,12.46146,0.663,-0.686,130.307,0.293,3,0.0,1,0.0,4,1.0,4Minute,Volume Up
211,133.24742,30.46725,0.606,-2.134,130.052,0.464,8,0.012,0,0.165,4,1.0,4Minute,Volume Up
212,163.71466,14.78756,0.751,-6.767,129.918,0.373,3,0.513,0,0.482,4,1.0,4Minute,Volume Up
213,178.50223,14.7437,0.569,-3.96,130.044,0.435,8,0.455,1,0.575,4,1.0,4Minute,Volume Up
214,193.24593,29.53259,0.624,-1.554,130.076,0.405,3,0.761,0,0.632,4,1.0,4Minute,Volume Up
215,222.7785,7.22965,0.943,-11.035,128.502,0.232,6,0.279,1,0.51,4,1.0,4Minute,Volume Up
216,0.0,5.73462,1.0,-6.095,164.319,0.408,6,0.052,1,0.433,4,0.846,5 Seconds of Summer,18
217,5.73462,35.98793,1.0,-4.284,160.285,0.346,7,0.611,1,0.681,4,1.0,5 Seconds of Summer,18
218,41.72255,25.13042,0.525,-3.772,159.999,0.274,9,0.464,1,0.454,4,1.0,5 Seconds of Summer,18
219,66.85298,17.99187,0.506,-4.122,160.214,0.401,4,0.463,0,0.36,4,1.0,5 Seconds of Summer,18
