,start,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,artist_name,track_name
3765,197.84006,32.84505,0.575,-3.289,169.792,0.405,10,0.156,0,0.547,4,1.0,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3766,230.6851,8.04137,1.0,-7.783,170.006,0.348,3,0.942,0,0.859,4,1.0,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
3767,0.0,14.86759,1.0,-3.972,122.447,0.311,6,0.0,0,0.0,4,1.0,BTS,Ma City
3768,14.86759,16.73002,0.873,-1.817,121.937,0.499,1,0.0,0,0.0,4,1.0,BTS,Ma City
3769,31.59761,19.6681,0.455,-3.512,122.186,0.554,4,0.38,1,0.297,4,1.0,BTS,Ma City
3770,51.26571,12.80947,0.354,-2.859,122.109,0.371,11,0.105,0,0.382,4,1.0,BTS,Ma City
3771,64.07517,11.77382,0.689,-0.65,122.264,0.298,6,0.007,0,0.1,4,1.0,BTS,Ma City
3772,75.84899,35.41541,0.472,-1.895,121.925,0.462,6,0.667,0,0.69,4,1.0,BTS,Ma City
3773,111.2644,11.33178,0.616,-3.426,121.942,0.611,11,0.242,0,0.3,4,1.0,BTS,Ma City
3774,122.59618,20.15982,0.583,-2.898,122.266,0.495,1,0.461,0,0.431,4,1.0,BTS,Ma City
3775,142.756,11.77963,0.547,-0.69,122.507,0.296,1,0.543,0,0.432,4,1.0,BTS,Ma City
3776,154.53563,17.73829,0.516,-1.973,121.903,0.427,6,0.038,0,0.456,4,1.0,BTS,Ma City
3777,172.27393,24.58026,0.487,-2.617,121.906,0.505,6,0.627,0,0.636,4,1.0,BTS,Ma City
3778,196.85419,59.83272,0.932,-2.102,121.991,0.386,6,0.667,0,0.776,4,1.0,BTS,Ma City
3779,0.0,20.79601,1.0,-14.867,147.311,0.477,11,0.2,1,0.189,4,0.81,BTS,Magic Shop
3780,20.79601,85.38413,0.427,-6.347,149.799,0.428,6,0.332,1,0.463,4,1.0,BTS,Magic Shop
3781,106.18014,11.19596,1.0,-11.725,150.128,0.456,1,0.908,1,0.721,4,1.0,BTS,Magic Shop
3782,117.3761,23.2124,0.712,-7.617,149.92,0.693,1,1.0,1,0.731,4,1.0,BTS,Magic Shop
3783,140.5885,18.82143,0.622,-7.49,149.418,0.361,6,0.528,1,0.63,4,1.0,BTS,Magic Shop
3784,159.40993,38.21946,0.631,-2.789,150.215,0.348,1,0.767,1,0.78,4,0.945,BTS,Magic Shop
3785,197.6294,9.97008,0.725,-7.8,144.911,0.319,3,0.626,0,0.576,4,0.857,BTS,Magic Shop
3786,207.59947,16.65098,0.731,-3.415,145.325,0.324,1,0.62,1,0.449,4,0.667,BTS,Magic Shop
3787,224.25044,51.44525,0.111,-2.546,149.1,0.3,1,0.976,1,0.816,4,0.955,BTS,Magic Shop
3788,0.0,11.01077,1.0,-16.356,112.732,0.537,8,0.095,1,0.552,5,0.75,BTS,No More Dream
3789,11.01077,21.96671,1.0,-6.627,111.936,0.467,8,0.892,1,0.678,5,1.0,BTS,No More Dream
3790,32.97749,14.09784,0.151,-5.887,111.436,0.614,8,0.01,1,0.504,5,1.0,BTS,No More Dream
3791,47.07533,30.01165,0.223,-5.378,168.095,0.525,1,0.445,1,0.49,4,0.96,BTS,No More Dream
3792,77.08698,12.85273,0.391,-3.649,167.936,0.418,2,0.0,1,0.0,4,1.0,BTS,No More Dream
3793,89.93972,32.49433,0.118,-4.685,168.086,0.468,2,0.168,1,0.421,4,1.0,BTS,No More Dream
3794,122.43404,13.92938,0.594,-4.478,168.396,0.53,2,0.521,1,0.583,4,1.0,BTS,No More Dream
3795,136.36342,33.22461,0.535,-4.13,167.897,0.463,8,0.595,1,0.565,4,1.0,BTS,No More Dream
3796,169.58803,9.99792,0.785,-10.167,168.31,0.398,2,0.355,1,0.392,4,1.0,BTS,No More Dream
3797,179.58595,11.0817,0.58,-7.272,167.511,0.531,11,0.425,0,0.387,4,1.0,BTS,No More Dream
3798,190.66765,24.26269,0.534,-3.532,167.989,0.368,7,0.036,1,0.345,4,1.0,BTS,No More Dream
3799,214.93034,7.13633,0.379,-10.709,167.438,0.292,2,0.081,1,0.411,4,1.0,BTS,No More Dream
3800,0.0,17.53945,1.0,-4.551,110.013,0.389,5,0.103,1,0.209,4,1.0,BTS,Not Today
3801,17.53945,38.18664,0.968,-3.094,109.986,0.658,8,0.186,1,0.325,4,1.0,BTS,Not Today
3802,55.72609,15.26282,0.466,-3.115,110.148,0.359,10,0.344,1,0.512,4,1.0,BTS,Not Today
3803,70.98891,34.36335,0.378,-3.42,110.0,0.284,0,0.025,1,0.321,4,1.0,BTS,Not Today
3804,105.35227,19.65173,0.473,-3.884,109.929,0.632,1,0.0,1,0.0,4,1.0,BTS,Not Today
3805,125.00399,15.80884,0.292,-3.268,110.221,0.383,7,0.0,0,0.133,4,1.0,BTS,Not Today
3806,140.81284,34.35343,0.434,-3.335,110.114,0.286,0,0.0,0,0.0,4,1.0,BTS,Not Today
3807,175.16628,18.55174,0.417,-2.863,109.725,0.226,0,0.183,0,0.605,4,1.0,BTS,Not Today
3808,193.71802,34.86338,0.332,-3.08,110.062,0.274,0,0.0,0,0.0,4,1.0,BTS,Not Today
3809,228.58139,3.27856,1.0,-25.111,0.0,0.0,0,0.483,1,0.451,4,1.0,BTS,Not Today
3810,0.0,10.19097,1.0,-16.748,107.047,0.222,9,0.0,0,0.0,4,1.0,BTS,ON
3811,10.19097,26.8333,0.881,-5.909,105.672,0.533,4,0.448,0,0.401,4,1.0,BTS,ON
3812,37.02428,19.25949,0.099,-6.083,105.71,0.36,7,0.4,1,0.612,4,1.0,BTS,ON
3813,56.28376,17.56039,0.388,-4.713,105.662,0.366,7,0.0,1,0.248,4,1.0,BTS,ON
3814,73.84415,20.91434,0.373,-4.511,106.094,0.409,7,0.601,1,0.525,4,1.0,BTS,ON
3815,94.75849,7.92613,0.374,-6.085,106.291,0.755,2,0.176,1,0.651,4,1.0,BTS,ON
3816,102.68462,25.47436,0.352,-4.928,106.014,0.531,2,0.532,1,0.456,4,1.0,BTS,ON
3817,128.15898,20.38027,0.142,-4.536,106.178,0.373,9,0.568,0,0.575,4,1.0,BTS,ON
3818,148.53925,15.96058,0.082,-3.747,105.92,0.407,7,0.799,1,0.687,4,1.0,BTS,ON
3819,164.49983,23.00863,0.93,-9.095,107.342,0.276,0,0.421,1,0.556,4,1.0,BTS,ON
3820,187.50845,53.94021,0.36,-3.718,105.97,0.322,7,0.331,1,0.452,4,1.0,BTS,ON
3821,241.44867,4.93187,0.816,-60.0,0.0,0.0,9,0.0,0,0.0,4,1.0,BTS,ON
3822,0.0,7.90903,1.0,-20.773,104.378,0.305,5,0.69,1,0.567,4,1.0,BTS,Outro: House of Cards
3823,7.90903,67.97042,0.615,-4.024,97.334,0.298,2,0.072,1,0.391,4,1.0,BTS,Outro: House of Cards
3824,75.87945,18.43681,0.839,-8.449,104.933,0.427,2,0.261,1,0.533,4,1.0,BTS,Outro: House of Cards
3825,94.31626,18.85887,0.728,-2.292,104.897,0.379,0,0.062,1,0.408,4,1.0,BTS,Outro: House of Cards
3826,113.17513,35.46666,0.239,-2.208,105.005,0.256,2,0.736,0,0.65,4,1.0,BTS,Outro: House of Cards
3827,148.64178,19.44135,0.718,-18.473,105.198,0.631,7,0.669,1,0.569,4,1.0,BTS,Outro: House of Cards
3828,168.08315,9.33052,0.443,-40.225,105.125,0.489,7,0.153,1,0.558,4,1.0,BTS,Outro: House of Cards
3829,0.0,11.07828,1.0,-19.973,140.395,0.359,11,0.037,1,0.448,4,1.0,BTS,Outro: Tear
3830,11.07828,22.68584,1.0,-14.317,140.114,0.202,6,0.256,0,0.487,4,1.0,BTS,Outro: Tear
3831,33.76412,9.89482,0.804,-6.236,138.854,0.205,1,0.035,0,0.438,4,1.0,BTS,Outro: Tear
3832,43.65893,54.63395,0.929,-2.318,140.286,0.544,2,0.459,1,0.453,4,0.458,BTS,Outro: Tear
3833,98.29289,11.57928,0.604,-2.128,139.727,0.534,1,0.519,0,0.621,4,0.826,BTS,Outro: Tear
3834,109.87216,28.69881,0.09,-1.667,139.868,0.424,6,0.33,0,0.433,4,1.0,BTS,Outro: Tear
3835,138.57097,13.28224,0.502,-4.213,140.12,0.633,2,0.495,1,0.535,4,1.0,BTS,Outro: Tear
3836,151.85321,15.02478,0.492,-2.15,140.124,0.585,4,0.011,0,0.29,4,1.0,BTS,Outro: Tear
3837,166.87799,20.13196,0.122,-1.528,140.088,0.589,11,0.418,0,0.797,4,1.0,BTS,Outro: Tear
3838,187.00995,9.8605,0.192,-2.865,139.83,0.537,2,0.324,1,0.416,4,1.0,BTS,Outro: Tear
3839,196.87045,16.28198,0.399,-1.842,139.821,0.413,6,0.33,0,0.458,4,1.0,BTS,Outro: Tear
3840,213.15244,23.13108,0.316,-1.704,140.192,0.42,6,0.251,0,0.329,4,0.898,BTS,Outro: Tear
3841,236.28351,14.5777,0.832,-7.076,140.148,0.313,1,0.385,0,0.554,4,0.741,BTS,Outro: Tear
3842,250.8612,27.55016,0.6,-1.372,139.983,0.527,6,0.167,0,0.241,3,0.968,BTS,Outro: Tear
3843,278.41138,6.56918,0.988,-21.083,0.0,0.0,2,0.0,1,0.0,3,1.0,BTS,Outro: Tear
3844,0.0,7.33196,1.0,-6.713,124.162,0.474,11,0.657,0,0.701,4,1.0,BTS,Outro: Wings
3845,7.33196,22.05161,0.824,-3.511,124.995,0.548,11,0.04,0,0.478,4,1.0,BTS,Outro: Wings
3846,29.38357,17.76608,0.281,-2.154,125.021,0.451,7,0.001,1,0.278,4,1.0,BTS,Outro: Wings
3847,47.14966,30.10639,0.794,-2.973,124.993,0.452,11,0.622,0,0.568,4,1.0,BTS,Outro: Wings
3848,77.25605,32.06628,0.451,-2.026,125.149,0.295,11,0.452,0,0.674,4,1.0,BTS,Outro: Wings
3849,109.32233,29.74239,0.503,-2.656,125.138,0.288,7,0.385,1,0.494,4,1.0,BTS,Outro: Wings
3850,139.06471,31.19778,0.979,-5.869,124.993,0.626,11,0.501,0,0.534,4,1.0,BTS,Outro: Wings
3851,170.2625,17.29806,0.429,-2.59,125.525,0.51,2,0.325,1,0.399,4,1.0,BTS,Outro: Wings
3852,187.56056,30.32746,0.59,-2.686,124.797,0.277,7,0.542,1,0.579,4,1.0,BTS,Outro: Wings
3853,217.88802,7.55865,0.887,-15.521,0.0,0.0,0,0.0,1,0.0,4,1.0,BTS,Outro: Wings
3854,0.0,13.75961,1.0,-12.037,139.647,0.532,7,0.17,0,0.352,3,1.0,BTS,Paradise
3855,13.75961,28.53342,0.774,-6.606,138.036,0.51,2,0.08,0,0.205,3,0.541,BTS,Paradise
3856,42.29303,26.94883,0.75,-4.796,139.486,0.449,5,0.513,1,0.466,4,0.929,BTS,Paradise
3857,69.24186,41.61067,0.69,-5.796,139.584,0.533,5,0.06,1,0.167,4,0.357,BTS,Paradise
3858,110.85253,27.67276,0.58,-4.646,135.706,0.376,5,0.663,1,0.55,4,0.904,BTS,Paradise
3859,138.5253,26.29097,0.916,-6.147,139.704,0.418,5,0.592,1,0.403,4,0.983,BTS,Paradise
3860,164.81625,46.40759,0.505,-4.602,140.316,0.39,5,0.416,1,0.378,4,0.327,BTS,Paradise
3861,0.0,8.78548,1.0,-11.347,94.217,0.71,0,0.149,1,0.574,4,1.0,BTS,Pied Piper
3862,8.78548,42.68883,0.415,-6.355,94.035,0.511,2,0.514,0,0.501,4,1.0,BTS,Pied Piper
3863,51.47431,64.83218,0.364,-4.247,94.085,0.432,2,0.362,0,0.479,4,1.0,BTS,Pied Piper
3864,116.30649,31.13485,0.932,-7.031,93.922,0.555,0,0.718,1,0.53,4,1.0,BTS,Pied Piper
3865,147.44135,22.1986,0.133,-4.02,94.452,0.316,5,0.272,1,0.624,4,1.0,BTS,Pied Piper
3866,169.63994,17.16352,0.198,-3.715,94.299,0.404,2,0.623,0,0.496,4,1.0,BTS,Pied Piper
3867,186.80347,19.86528,0.291,-5.174,93.591,0.271,5,0.513,1,0.5,4,1.0,BTS,Pied Piper
3868,206.66875,32.35603,0.332,-4.669,94.053,0.394,2,0.654,0,0.607,4,0.959,BTS,Pied Piper
3869,239.02477,6.59582,0.807,-39.841,0.0,0.0,5,0.388,1,0.594,4,0.333,BTS,Pied Piper
3870,0.0,14.92981,1.0,-8.979,133.275,0.357,11,0.0,0,0.0,4,1.0,BTS,Run
3871,14.92981,14.44349,1.0,-4.336,133.04,0.574,6,0.644,0,0.649,4,1.0,BTS,Run
3872,29.37329,11.27333,0.248,-3.694,132.819,0.638,11,0.385,0,0.461,4,1.0,BTS,Run
3873,40.64662,17.58812,0.264,-3.763,133.078,0.417,9,0.449,1,0.4,4,1.0,BTS,Run
